"INSTID","UKPRN","ProviderName","CountryCode","CategoryName","FE_Provider","Rescinded"
"0036","","Salford College of Technology","E","","","1"
"0037","10006022","Southampton Solent University","E","England - Approved (Fee Cap)","","0"
"0038","10007842","University of Cumbria","E","England - Approved (Fee Cap)","","0"
"0039","10007843","St Mary's University, Twickenham","E","England - Approved (Fee Cap)","","0"
"0040","10003863","Leeds Trinity University","E","England - Approved (Fee Cap)","","0"
"0041","10008017","Trinity Laban Conservatoire of Music and Dance","E","England - Approved (Fee Cap)","","0"
"0042","","Westminster College","E","","","1"
"0043","","West London Institute of HE","E","","","1"
"0044","","The Surrey Institute of Art and Design, University College","E","","","1"
"0045","","Winchester School of Art","E","","","1"
"0046","10007139","University of Worcester","E","England - Approved (Fee Cap)","","0"
"0047","10000291","Anglia Ruskin University","E","England - Approved (Fee Cap)","","0"
"0048","10000571","Bath Spa University","E","England - Approved (Fee Cap)","","0"
"0049","10006841","University of Greater Manchester","E","England - Approved (Fee Cap)","","0"
"0050","10000824","Bournemouth University","E","England - Approved (Fee Cap)","","0"
"0051","10000886","The University of Brighton","E","England - Approved (Fee Cap)","","0"
